 Total Nb of available Diagnostics: ndiagt=   301
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
    98 |TOTVTEND| 15 |    97 |VVR     MR|m/s/day         |Tendency of Meridional Component of Velocity
    99 |TOTTTEND| 15 |       |SMR     MR|degC/day        |Tendency of Potential Temperature
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   100 |TOTSTEND| 15 |       |SMR     MR|psu/day         |Tendency of Salinity
   101 |MoistCor| 15 |       |SM      MR|W/m^2           |Heating correction due to moist thermodynamics
   102 |HeatDiss| 15 |       |SM      MR|W/m^2           |Heating from frictional dissipation
   103 |gT_Forc | 15 |       |SMR     MR|degC/s          |Potential Temp. forcing tendency
   104 |gS_Forc | 15 |       |SMR     MR|psu/s           |Salinity forcing tendency
   105 |AB_gT   | 15 |       |SMR     MR|degC/s          |Potential Temp. tendency from Adams-Bashforth
   106 |AB_gS   | 15 |       |SMR     MR|psu/s           |Salinity tendency from Adams-Bashforth
   107 |gTinAB  | 15 |       |SMR     MR|degC/s          |Potential Temp. tendency going in Adams-Bashforth
   108 |gSinAB  | 15 |       |SMR     MR|psu/s           |Salinity tendency going in Adams-Bashforth
   109 |AB_gU   | 15 |   110 |UUR     MR|m/s^2           |U momentum tendency from Adams-Bashforth
   110 |AB_gV   | 15 |   109 |VVR     MR|m/s^2           |V momentum tendency from Adams-Bashforth
   111 |ADVr_TH | 15 |       |WM      LR|degC.m^3/s      |Vertical   Advective Flux of Pot.Temperature
   112 |ADVx_TH | 15 |   113 |UU      MR|degC.m^3/s      |Zonal      Advective Flux of Pot.Temperature
   113 |ADVy_TH | 15 |   112 |VV      MR|degC.m^3/s      |Meridional Advective Flux of Pot.Temperature
   114 |DFrE_TH | 15 |       |WM      LR|degC.m^3/s      |Vertical Diffusive Flux of Pot.Temperature (Explicit part)
   115 |DFxE_TH | 15 |   116 |UU      MR|degC.m^3/s      |Zonal      Diffusive Flux of Pot.Temperature
   116 |DFyE_TH | 15 |   115 |VV      MR|degC.m^3/s      |Meridional Diffusive Flux of Pot.Temperature
   117 |DFrI_TH | 15 |       |WM      LR|degC.m^3/s      |Vertical Diffusive Flux of Pot.Temperature (Implicit part)
   118 |ADVr_SLT| 15 |       |WM      LR|psu.m^3/s       |Vertical   Advective Flux of Salinity
   119 |ADVx_SLT| 15 |   120 |UU      MR|psu.m^3/s       |Zonal      Advective Flux of Salinity
   120 |ADVy_SLT| 15 |   119 |VV      MR|psu.m^3/s       |Meridional Advective Flux of Salinity
   121 |DFrE_SLT| 15 |       |WM      LR|psu.m^3/s       |Vertical Diffusive Flux of Salinity    (Explicit part)
   122 |DFxE_SLT| 15 |   123 |UU      MR|psu.m^3/s       |Zonal      Diffusive Flux of Salinity
   123 |DFyE_SLT| 15 |   122 |VV      MR|psu.m^3/s       |Meridional Diffusive Flux of Salinity
   124 |DFrI_SLT| 15 |       |WM      LR|psu.m^3/s       |Vertical Diffusive Flux of Salinity    (Implicit part)
   125 |SALTFILL| 15 |       |SM      MR|psu.m^3/s       |Filling of Negative Values of Salinity
   126 |VISCAHZ | 15 |       |SZ      MR|m^2/s           |Harmonic Visc Coefficient (m2/s) (Zeta Pt)
   127 |VISCA4Z | 15 |       |SZ      MR|m^4/s           |Biharmonic Visc Coefficient (m4/s) (Zeta Pt)
   128 |VISCAHD | 15 |       |SM      MR|m^2/s           |Harmonic Viscosity Coefficient (m2/s) (Div Pt)
   129 |VISCA4D | 15 |       |SM      MR|m^4/s           |Biharmonic Viscosity Coefficient (m4/s) (Div Pt)
   130 |VISCAHW | 15 |       |WM      LR|m^2/s           |Harmonic Viscosity Coefficient (m2/s) (W Pt)
   131 |VISCA4W | 15 |       |WM      LR|m^4/s           |Biharmonic Viscosity Coefficient (m4/s) (W Pt)
   132 |VAHZMAX | 15 |       |SZ      MR|m^2/s           |CFL-MAX Harm Visc Coefficient (m2/s) (Zeta Pt)
   133 |VA4ZMAX | 15 |       |SZ      MR|m^4/s           |CFL-MAX Biharm Visc Coefficient (m4/s) (Zeta Pt)
   134 |VAHDMAX | 15 |       |SM      MR|m^2/s           |CFL-MAX Harm Visc Coefficient (m2/s) (Div Pt)
   135 |VA4DMAX | 15 |       |SM      MR|m^4/s           |CFL-MAX Biharm Visc Coefficient (m4/s) (Div Pt)
   136 |VAHZMIN | 15 |       |SZ      MR|m^2/s           |RE-MIN Harm Visc Coefficient (m2/s) (Zeta Pt)
   137 |VA4ZMIN | 15 |       |SZ      MR|m^4/s           |RE-MIN Biharm Visc Coefficient (m4/s) (Zeta Pt)
   138 |VAHDMIN | 15 |       |SM      MR|m^2/s           |RE-MIN Harm Visc Coefficient (m2/s) (Div Pt)
   139 |VA4DMIN | 15 |       |SM      MR|m^4/s           |RE-MIN Biharm Visc Coefficient (m4/s) (Div Pt)
   140 |VAHZLTH | 15 |       |SZ      MR|m^2/s           |Leith Harm Visc Coefficient (m2/s) (Zeta Pt)
   141 |VA4ZLTH | 15 |       |SZ      MR|m^4/s           |Leith Biharm Visc Coefficient (m4/s) (Zeta Pt)
   142 |VAHDLTH | 15 |       |SM      MR|m^2/s           |Leith Harm Visc Coefficient (m2/s) (Div Pt)
   143 |VA4DLTH | 15 |       |SM      MR|m^4/s           |Leith Biharm Visc Coefficient (m4/s) (Div Pt)
   144 |VAHZLTHD| 15 |       |SZ      MR|m^2/s           |LeithD Harm Visc Coefficient (m2/s) (Zeta Pt)
   145 |VA4ZLTHD| 15 |       |SZ      MR|m^4/s           |LeithD Biharm Visc Coefficient (m4/s) (Zeta Pt)
   146 |VAHDLTHD| 15 |       |SM      MR|m^2/s           |LeithD Harm Visc Coefficient (m2/s) (Div Pt)
   147 |VA4DLTHD| 15 |       |SM      MR|m^4/s           |LeithD Biharm Visc Coefficient (m4/s) (Div Pt)
   148 |VAHZSMAG| 15 |       |SZ      MR|m^2/s           |Smagorinsky Harm Visc Coefficient (m2/s) (Zeta Pt)
   149 |VA4ZSMAG| 15 |       |SZ      MR|m^4/s           |Smagorinsky Biharm Visc Coeff. (m4/s) (Zeta Pt)
   150 |VAHDSMAG| 15 |       |SM      MR|m^2/s           |Smagorinsky Harm Visc Coefficient (m2/s) (Div Pt)
   151 |VA4DSMAG| 15 |       |SM      MR|m^4/s           |Smagorinsky Biharm Visc Coeff. (m4/s) (Div Pt)
   152 |momKE   | 15 |       |SMR     MR|m^2/s^2         |Kinetic Energy (in momentum Eq.)
   153 |momHDiv | 15 |       |SMR     MR|s^-1            |Horizontal Divergence (in momentum Eq.)
   154 |momVort3| 15 |       |SZR     MR|s^-1            |3rd component (vertical) of Vorticity
   155 |Strain  | 15 |       |SZR     MR|s^-1            |Horizontal Strain of Horizontal Velocities
   156 |Tension | 15 |       |SMR     MR|s^-1            |Horizontal Tension of Horizontal Velocities
   157 |UBotDrag| 15 |   158 |UUR     MR|m/s^2           |U momentum tendency from Bottom Drag
   158 |VBotDrag| 15 |   157 |VVR     MR|m/s^2           |V momentum tendency from Bottom Drag
   159 |USidDrag| 15 |   160 |UUR     MR|m/s^2           |U momentum tendency from Side Drag
   160 |VSidDrag| 15 |   159 |VVR     MR|m/s^2           |V momentum tendency from Side Drag
   161 |Um_Diss | 15 |   162 |UUR     MR|m/s^2           |U momentum tendency from Dissipation
   162 |Vm_Diss | 15 |   161 |VVR     MR|m/s^2           |V momentum tendency from Dissipation
   163 |Um_Advec| 15 |   164 |UUR     MR|m/s^2           |U momentum tendency from Advection terms
   164 |Vm_Advec| 15 |   163 |VVR     MR|m/s^2           |V momentum tendency from Advection terms
   165 |Um_Cori | 15 |   166 |UUR     MR|m/s^2           |U momentum tendency from Coriolis term
   166 |Vm_Cori | 15 |   165 |VVR     MR|m/s^2           |V momentum tendency from Coriolis term
   167 |Um_dPHdx| 15 |   168 |UUR     MR|m/s^2           |U momentum tendency from Hydrostatic Pressure grad
   168 |Vm_dPHdy| 15 |   167 |VVR     MR|m/s^2           |V momentum tendency from Hydrostatic Pressure grad
   169 |Um_Ext  | 15 |   170 |UUR     MR|m/s^2           |U momentum tendency from external forcing
   170 |Vm_Ext  | 15 |   169 |VVR     MR|m/s^2           |V momentum tendency from external forcing
   171 |Um_AdvZ3| 15 |   172 |UUR     MR|m/s^2           |U momentum tendency from Vorticity Advection
   172 |Vm_AdvZ3| 15 |   171 |VVR     MR|m/s^2           |V momentum tendency from Vorticity Advection
   173 |Um_AdvRe| 15 |   174 |UUR     MR|m/s^2           |U momentum tendency from vertical Advection (Explicit part)
   174 |Vm_AdvRe| 15 |   173 |VVR     MR|m/s^2           |V momentum tendency from vertical Advection (Explicit part)
   175 |ADVx_Um | 15 |   176 |UM      MR|m^4/s^2         |Zonal      Advective Flux of U momentum
   176 |ADVy_Um | 15 |   175 |VZ      MR|m^4/s^2         |Meridional Advective Flux of U momentum
   177 |ADVrE_Um| 15 |       |WU      LR|m^4/s^2         |Vertical   Advective Flux of U momentum (Explicit part)
   178 |ADVx_Vm | 15 |   179 |UZ      MR|m^4/s^2         |Zonal      Advective Flux of V momentum
   179 |ADVy_Vm | 15 |   178 |VM      MR|m^4/s^2         |Meridional Advective Flux of V momentum
   180 |ADVrE_Vm| 15 |       |WV      LR|m^4/s^2         |Vertical   Advective Flux of V momentum (Explicit part)
   181 |VISCx_Um| 15 |   182 |UM      MR|m^4/s^2         |Zonal      Viscous Flux of U momentum
   182 |VISCy_Um| 15 |   181 |VZ      MR|m^4/s^2         |Meridional Viscous Flux of U momentum
   183 |VISrE_Um| 15 |       |WU      LR|m^4/s^2         |Vertical   Viscous Flux of U momentum (Explicit part)
   184 |VISrI_Um| 15 |       |WU      LR|m^4/s^2         |Vertical   Viscous Flux of U momentum (Implicit part)
   185 |VISCx_Vm| 15 |   186 |UZ      MR|m^4/s^2         |Zonal      Viscous Flux of V momentum
   186 |VISCy_Vm| 15 |   185 |VM      MR|m^4/s^2         |Meridional Viscous Flux of V momentum
   187 |VISrE_Vm| 15 |       |WV      LR|m^4/s^2         |Vertical   Viscous Flux of V momentum (Explicit part)
   188 |VISrI_Vm| 15 |       |WV      LR|m^4/s^2         |Vertical   Viscous Flux of V momentum (Implicit part)
   189 |GM_VisbK|  1 |       |SM P    M1|m^2/s           |Mixing coefficient from Visbeck etal parameterization
   190 |GM_hTrsL|  1 |       |SM P    M1|m               |Base depth (>0) of the Transition Layer
   191 |GM_baseS|  1 |       |SM P    M1|1               |Slope at the base of the Transition Layer
   192 |GM_rLamb|  1 |       |SM P    M1|1/m             |Slope vertical gradient at Trans. Layer Base (=recip.Lambda)
   193 |SubMesLf|  1 |       |SM P    M1|m               |Sub-Meso horiz. Length Scale (Lf)
   194 |SubMpsiX|  1 |   195 |UU      M1|m^2/s           |Sub-Meso transp.stream-funct. magnitude (Psi0): U component
   195 |SubMpsiY|  1 |   194 |VV      M1|m^2/s           |Sub-Meso transp.stream-funct. magnitude (Psi0): V component
   196 |GM_Kux  | 15 |   197 |UU P    MR|m^2/s           |K_11 element (U.point, X.dir) of GM-Redi tensor
   197 |GM_Kvy  | 15 |   196 |VV P    MR|m^2/s           |K_22 element (V.point, Y.dir) of GM-Redi tensor
   198 |GM_Kuz  | 15 |   199 |UU      MR|m^2/s           |K_13 element (U.point, Z.dir) of GM-Redi tensor
   199 |GM_Kvz  | 15 |   198 |VV      MR|m^2/s           |K_23 element (V.point, Z.dir) of GM-Redi tensor
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   200 |GM_Kwx  | 15 |   201 |UM      LR|m^2/s           |K_31 element (W.point, X.dir) of GM-Redi tensor
   201 |GM_Kwy  | 15 |   200 |VM      LR|m^2/s           |K_32 element (W.point, Y.dir) of GM-Redi tensor
   202 |GM_Kwz  | 15 |       |WM P    LR|m^2/s           |K_33 element (W.point, Z.dir) of GM-Redi tensor
   203 |GM_PsiX | 15 |   204 |UU      LR|m^2/s           |GM Bolus transport stream-function : U component
   204 |GM_PsiY | 15 |   203 |VV      LR|m^2/s           |GM Bolus transport stream-function : V component
   205 |GM_KuzTz| 15 |   206 |UU      MR|degC.m^3/s      |Redi Off-diagonal Temperature flux: X component
   206 |GM_KvzTz| 15 |   205 |VV      MR|degC.m^3/s      |Redi Off-diagonal Temperature flux: Y component
   207 |GM_KwzTz| 15 |       |WM      LR|degC.m^3/s      |Redi main-diagonal vertical Temperature flux
   208 |GM_ubT  | 15 |   209 |UUr     MR|degC.m^3/s      |Zonal Mass-Weight Bolus Transp of Pot Temp
   209 |GM_vbT  | 15 |   208 |VVr     MR|degC.m^3/s      |Meridional Mass-Weight Bolus Transp of Pot Temp
   210 |GM_BVPcW|  1 |   211 |SU P    M1|m/s             |WKB wave speed (at Western edge location)
   211 |GM_BVPcS|  1 |   210 |SV P    M1|m/s             |WKB wave speed (at Southern edge location)
   212 |TRAC01  | 15 |       |SMR     MR|mol C/m         |Dissolved Inorganic Carbon concentration
   213 |UTRAC01 | 15 |   214 |UUr     MR|molC/m.m/s      |Zonal Mass-Weighted Transp of dic
   214 |VTRAC01 | 15 |   213 |VVr     MR|molC/m.m/s      |Merid Mass-Weighted Transp of dic
   215 |WTRAC01 | 15 |       |WM      MR|molC/m.m/s      |Vert  Mass-Weighted Transp of dic
   216 |ForcTr01| 15 |       |SMR     MR|molC/m/s        |dic forcing tendency
   217 |AB_gTr01| 15 |       |SMR     MR|molC/m/s        |dic tendency from Adams-Bashforth
   218 |ADVrTr01| 15 |       |WM      LR|molC/m.m^3/s    |Vertical   Advective Flux of dic
   219 |ADVxTr01| 15 |   220 |UU      MR|molC/m.m^3/s    |Zonal      Advective Flux of dic
   220 |ADVyTr01| 15 |   219 |VV      MR|molC/m.m^3/s    |Meridional Advective Flux of dic
   221 |DFrETr01| 15 |       |WM      LR|molC/m.m^3/s    |Vertical Diffusive Flux of dic (Explicit part)
   222 |DFxETr01| 15 |   223 |UU      MR|molC/m.m^3/s    |Zonal      Diffusive Flux of dic
   223 |DFyETr01| 15 |   222 |VV      MR|molC/m.m^3/s    |Meridional Diffusive Flux of dic
   224 |DFrITr01| 15 |       |WM      LR|molC/m.m^3/s    |Vertical Diffusive Flux of dic (Implicit part)
   225 |TRAC02  | 15 |       |SMR     MR|mol eq/         |Alkalinity concentration
   226 |UTRAC02 | 15 |   227 |UUr     MR|moleq/.m/s      |Zonal Mass-Weighted Transp of alk
   227 |VTRAC02 | 15 |   226 |VVr     MR|moleq/.m/s      |Merid Mass-Weighted Transp of alk
   228 |WTRAC02 | 15 |       |WM      MR|moleq/.m/s      |Vert  Mass-Weighted Transp of alk
   229 |ForcTr02| 15 |       |SMR     MR|moleq//s        |alk forcing tendency
   230 |AB_gTr02| 15 |       |SMR     MR|moleq//s        |alk tendency from Adams-Bashforth
   231 |ADVrTr02| 15 |       |WM      LR|moleq/.m^3/s    |Vertical   Advective Flux of alk
   232 |ADVxTr02| 15 |   233 |UU      MR|moleq/.m^3/s    |Zonal      Advective Flux of alk
   233 |ADVyTr02| 15 |   232 |VV      MR|moleq/.m^3/s    |Meridional Advective Flux of alk
   234 |DFrETr02| 15 |       |WM      LR|moleq/.m^3/s    |Vertical Diffusive Flux of alk (Explicit part)
   235 |DFxETr02| 15 |   236 |UU      MR|moleq/.m^3/s    |Zonal      Diffusive Flux of alk
   236 |DFyETr02| 15 |   235 |VV      MR|moleq/.m^3/s    |Meridional Diffusive Flux of alk
   237 |DFrITr02| 15 |       |WM      LR|moleq/.m^3/s    |Vertical Diffusive Flux of alk (Implicit part)
   238 |TRAC03  | 15 |       |SMR     MR|mol P/m         |Phosphate concentration
   239 |UTRAC03 | 15 |   240 |UUr     MR|molP/m.m/s      |Zonal Mass-Weighted Transp of po4
   240 |VTRAC03 | 15 |   239 |VVr     MR|molP/m.m/s      |Merid Mass-Weighted Transp of po4
   241 |WTRAC03 | 15 |       |WM      MR|molP/m.m/s      |Vert  Mass-Weighted Transp of po4
   242 |ForcTr03| 15 |       |SMR     MR|molP/m/s        |po4 forcing tendency
   243 |AB_gTr03| 15 |       |SMR     MR|molP/m/s        |po4 tendency from Adams-Bashforth
   244 |ADVrTr03| 15 |       |WM      LR|molP/m.m^3/s    |Vertical   Advective Flux of po4
   245 |ADVxTr03| 15 |   246 |UU      MR|molP/m.m^3/s    |Zonal      Advective Flux of po4
   246 |ADVyTr03| 15 |   245 |VV      MR|molP/m.m^3/s    |Meridional Advective Flux of po4
   247 |DFrETr03| 15 |       |WM      LR|molP/m.m^3/s    |Vertical Diffusive Flux of po4 (Explicit part)
   248 |DFxETr03| 15 |   249 |UU      MR|molP/m.m^3/s    |Zonal      Diffusive Flux of po4
   249 |DFyETr03| 15 |   248 |VV      MR|molP/m.m^3/s    |Meridional Diffusive Flux of po4
   250 |DFrITr03| 15 |       |WM      LR|molP/m.m^3/s    |Vertical Diffusive Flux of po4 (Implicit part)
   251 |TRAC04  | 15 |       |SMR     MR|mol P/m         |Dissolved Organic Phosphorus concentration
   252 |UTRAC04 | 15 |   253 |UUr     MR|molP/m.m/s      |Zonal Mass-Weighted Transp of dop
   253 |VTRAC04 | 15 |   252 |VVr     MR|molP/m.m/s      |Merid Mass-Weighted Transp of dop
   254 |WTRAC04 | 15 |       |WM      MR|molP/m.m/s      |Vert  Mass-Weighted Transp of dop
   255 |ForcTr04| 15 |       |SMR     MR|molP/m/s        |dop forcing tendency
   256 |AB_gTr04| 15 |       |SMR     MR|molP/m/s        |dop tendency from Adams-Bashforth
